0,"{'phone': '0.053593', 'update': '0.033545', 'iphone': '0.031297', 'time': '0.018414', 'help': '0.018044', 'keep': '0.017899', 'new': '0.016388', 'work': '0.016349', 'try': '0.015831', 'get': '0.012475'}"
1,"{'update': '0.068469', 'phone': '0.047831', 'iphone': '0.040770', 'new': '0.030985', 'battery': '0.024178', 'app': '0.019935', 'fix': '0.018745', 'slow': '0.017423', 'ios': '0.016322', 'freeze': '0.013585'}"
2,"{'battery': '0.098572', 'iphone': '0.052787', 'update': '0.029347', 'drain': '0.026491', 'life': '0.022991', 'charge': '0.019417', 'fix': '0.018866', 'issue': '0.015880', 'ios': '0.014709', 'hour': '0.014284'}"
3,"{'screen': '0.046927', 'iphone': '0.046116', 'app': '0.030086', 'phone': '0.024199', 'update': '0.023884', 'issue': '0.018763', 'keep': '0.017811', 'freeze': '0.017778', 'fix': '0.017359', 'time': '0.017243'}"
4,"{'app': '0.049983', 'update': '0.037207', 'apple': '0.024448', 'try': '0.021557', 'work': '0.021467', 'download': '0.019636', 'iphone': '0.019357', 'help': '0.018040', 'ipad': '0.016060', 'store': '0.014730'}"
5,"{'fix': '0.042601', 'letter': '0.042584', 'type': '0.037940', 'box': '0.026991', 'question_mark': '0.026200', 'update': '0.025164', 'phone': '0.023919', 'see': '0.018555', 'time': '0.014503', 'keep': '0.014398'}"
6,"{'iphone': '0.038762', 'apple': '0.034505', 'buy': '0.021240', 'new': '0.017957', 'screen': '0.016727', 'phone': '0.015353', 'store': '0.011847', 'work': '0.010973', 'old': '0.010807', 'month': '0.010439'}"
7,"{'fix': '0.071248', 'phone': '0.044594', 'shit': '0.026448', 'update': '0.026442', 'go': '0.024917', 'need': '0.019568', 'apple': '0.016144', 'fuck': '0.014943', 'glitch': '0.013690', 'get': '0.011525'}"
8,"{'email': '0.043934', 'apple': '0.038212', 'account': '0.029625', 'would': '0.026073', 'password': '0.022959', 'get': '0.018416', 'icloud': '0.015829', 'receive': '0.011750', 'help': '0.011161', 'ask': '0.010169'}"
9,"{'screen': '0.031030', 'button': '0.018688', 'app': '0.016971', 'turn': '0.016053', 'work': '0.015389', 'iphone': '0.014360', 'home': '0.014004', 'use': '0.013173', 'way': '0.011765', 'set': '0.011734'}"
10,"{'message': '0.036824', 'text': '0.033481', 'send': '0.026886', 'app': '0.017070', 'email': '0.016997', 'contact': '0.016632', 'notification': '0.016607', 'iphone': '0.014595', 'update': '0.013378', 'show': '0.012981'}"
11,"{'apple': '0.047313', 'app': '0.038684', 'store': '0.021361', 'pay': '0.019486', 'card': '0.017250', 'use': '0.017074', 'help': '0.016677', 'purchase': '0.014746', 'try': '0.014497', 'buy': '0.013545'}"
12,"{'high_sierra': '0.030292', 'mac': '0.026183', 'macbook': '0.025953', 'pro': '0.023914', 'update': '0.021021', 'help': '0.013446', 'work': '0.012556', 'time': '0.011426', 'upgrade': '0.011148', 'fix': '0.010133'}"
13,"{'photo': '0.050804', 'icloud': '0.047212', 'iphone': '0.033533', 'delete': '0.028225', 'storage': '0.023164', 'backup': '0.019539', 'help': '0.016767', 'gb': '0.014511', 'app': '0.014309', 'back': '0.014287'}"
14,"{'iphone': '0.056971', 'would': '0.042904', 'apple': '0.029451', 'help': '0.022299', 'work': '0.019290', 'use': '0.015907', 'phone': '0.014544', 'issue': '0.014510', 'face': '0.014226', 'problem': '0.013500'}"
15,"{'call': '0.049187', 'iphone': '0.043408', 'work': '0.036096', 'phone': '0.031452', 'make': '0.025843', 'sound': '0.025309', 'alarm': '0.021483', 'update': '0.018452', 'volume': '0.016192', 'speaker': '0.014818'}"
16,"{'call': '0.044394', 'phone': '0.031188', 'help': '0.025671', 'support': '0.017925', 'need': '0.016977', 'apple': '0.015560', 'make': '0.013207', 'store': '0.012248', 'issue': '0.012168', 'chat': '0.011368'}"
17,"{'music': '0.062851', 'song': '0.041859', 'apple': '0.033471', 'itune': '0.026140', 'download': '0.025978', 'album': '0.025722', 'play': '0.018647', 'library': '0.017311', 'playlist': '0.016428', 'add': '0.015603'}"
18,"{'iphone': '0.050936', 'order': '0.031966', 'day': '0.018996', 'store': '0.016414', 'apple': '0.014214', 'still': '0.013090', 'upgrade': '0.012816', 'get': '0.012063', 'email': '0.011572', 'phone': '0.011274'}"
19,"{'wifi': '0.065773', 'turn': '0.042941', 'iphone': '0.037258', 'bluetooth': '0.034509', 'connect': '0.028479', 'update': '0.017893', 'issue': '0.017187', 'amp': '0.016741', 'work': '0.016060', 'keep': '0.013968'}"
20,"{'music': '0.071540', 'play': '0.047108', 'app': '0.031927', 'apple': '0.031809', 'podcast': '0.021615', 'pause': '0.017160', 'song': '0.015551', 'work': '0.014917', 'stop': '0.014312', 'listen': '0.013692'}"
21,"{'apple': '0.040501', 'service': '0.039789', 'customer': '0.028748', 'bad': '0.016510', 'support': '0.015980', 'iphone': '0.014738', 'issue': '0.013405', 'store': '0.011527', 'experience': '0.009104', 'care': '0.008180'}"
22,"{'photo': '0.052616', 'take': '0.031606', 'video': '0.024914', 'camera': '0.023997', 'iphone': '0.023178', 'picture': '0.016077', 'live': '0.016057', 'app': '0.015375', 'save': '0.011863', 'turn': '0.009932'}"
23,"{'watch': '0.078768', 'apple': '0.055392', 'app': '0.024874', 'series': '0.021723', 'activity': '0.016737', 'workout': '0.013844', 'day': '0.013605', 'work': '0.009935', 'run': '0.008419', 'map': '0.008140'}"
24,"{'charge': '0.041276', 'charger': '0.031227', 'iphone': '0.028918', 'work': '0.023985', 'use': '0.019629', 'ipad': '0.017320', 'plug': '0.017110', 'apple': '0.014985', 'usb': '0.014172', 'phone': '0.013752'}"
